	SRR7359524	SRR7359523	SRR7359522	SRR7359521	SRR7359528	SRR7359527	SRR7359526	SRR7359525
peak_100048	0	0	0	0	0	0	0.717594443942245	0
peak_100049	0	0	0	0	0	0	0.717594443942245	0
peak_10005	0	0	0	1.4580111421633	1.84229574786345	0	0	0
peak_100050	0	0	0	0	0	0	0.717594443942245	0
peak_100051	0	0	0	0	0	0.776145176973932	0	0
peak_100052	0	0	0	0	0	0.776145176973932	0	0
peak_100053	0	0	0	0	0	0.776145176973932	0	0
peak_100054	0	0	0	0	0	0.776145176973932	0	0
peak_100055	0	0	0	0	2.76344362179517	0	0	0
peak_100056	0	0	0	0	0	0.776145176973932	0	0
peak_100057	0	0	0	0	1.84229574786345	0	0	0
peak_100058	0	0	0	0	0	0.776145176973932	0	0
peak_100059	0	0	0	0	0	0	2.15278333182673	0
peak_10006	0	1.17917497231001	0	0	0	0	0.717594443942245	0
peak_100060	0	0	0	0	0	0.776145176973932	0.717594443942245	0
peak_100061	0	0	0	0	0	0	0	0.659955311222994
peak_100062	0	0	0	0	0	0	0.717594443942245	0
peak_100063	0	0	0	0	0	0	1.43518888788449	0
peak_100064	0	0	0	0	0	0	0	0.659955311222994
peak_100065	0	0	0	0	0	0	0.717594443942245	0
peak_100066	0	0	0	0	0	0	0	0.659955311222994
peak_100067	0	0	0	0	0	0	0.717594443942245	0
peak_100068	0	0	0	0	0	0	0.717594443942245	0
peak_100069	0	0	0	1.4580111421633	0	0	1.43518888788449	0
peak_10007	0	0	0	0	0	0.776145176973932	0	0
peak_100070	0	0	0	1.4580111421633	0	0	1.43518888788449	0
peak_100071	0	0	0	0	0	0	0.717594443942245	0
peak_100072	0	0	0	0	0	0	0	0.659955311222994
peak_100073	0	0	0	0	0	0	0	0.659955311222994
peak_100074	0	0	0	0	0	0	0	0.659955311222994
peak_100075	0	0	0	1.4580111421633	0	0.776145176973932	0	0
peak_100076	0.919198308727221	0	0	0	0	1.55229035394786	0.717594443942245	0.659955311222994
peak_100077	0	0	0	1.4580111421633	0	0.776145176973932	0	0
peak_100078	0	0	0	0	0	0	0	0.659955311222994
peak_100079	0	0	0	0	0	0	0.717594443942245	0
peak_10008	0	0	0	0	1.84229574786345	0	0	0
peak_100080	0	0	1.49556127951153	0	0	0	0	0.659955311222994
peak_100081	0	0	0	0	0	0	0	0.659955311222994
peak_100082	0	0	0	0	0	0.776145176973932	0	0
peak_100083	0	0	0	0	0	0	0	0.659955311222994
peak_100084	0	0	0	0	0	0.776145176973932	0	0
peak_100085	0	0	0	0	0	0.776145176973932	0	0
peak_100086	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100087	0	0	0	0	0	0	0.717594443942245	0
peak_100088	0	0	0	0	0	0	0	0.659955311222994
peak_100089	0	0	0	0	0	0	0	0.659955311222994
peak_10009	0	0	0	0	0	0	0	0.659955311222994
peak_100090	0	0	0	0	0.921147873931724	0	0.717594443942245	0
peak_100091	0	0	0	0	0	0.776145176973932	0	0
peak_100092	0	0	0	0	0	0	0.717594443942245	0
peak_100093	0	0	0	0	0	0	0.717594443942245	0
peak_100094	0	0	0	0	0	0	0.717594443942245	0
peak_100095	0	0	1.49556127951153	0	0	0	0	1.97986593366898
peak_100096	0	0	0	0	0	0	0	0.659955311222994
peak_100097	0	0	0	0	0	0	1.43518888788449	0.659955311222994
peak_100098	0	0	0	0	0	0	0.717594443942245	1.97986593366898
peak_100099	0	0	0	0	0	0.776145176973932	0	0
peak_1001	0	0	0	0	0	0	0	0.659955311222994
peak_10010	0	0	0	0	0	0	0	0.659955311222994
peak_100100	0	0	0	0	0	0	0	0.659955311222994
peak_100101	0	0	0	0	0	0.776145176973932	0	0
peak_100102	0	0	0	1.4580111421633	0	0.776145176973932	0	0
peak_100103	0	0	0	0	0	0.776145176973932	0	0
peak_100104	0	0	0	1.4580111421633	0	0.776145176973932	0	0
peak_100105	0	0	0	0	0	0.776145176973932	0	0
peak_100106	0	0	0	0	0	0	0.717594443942245	0
peak_100107	0.919198308727221	0	0	1.4580111421633	0	0	1.43518888788449	0.659955311222994
peak_100108	0	0	0	0	0	0	0	0.659955311222994
peak_100109	0	0	0	0	0	0	0.717594443942245	0
peak_10011	0	0	0	0	0	0	0	0
peak_100110	0	0	0	0	0	0	0.717594443942245	0
peak_100111	0	0	0	0	0	0	0.717594443942245	0
peak_100112	0	0	0	0	0	0	1.43518888788449	0
peak_100113	0	0	0	0	0	0	0.717594443942245	0
peak_100114	0	0	0	0	0	0	0.717594443942245	0
peak_100115	0	0	0	0	0	0	0.717594443942245	0
peak_100116	0	0	0	0	0	0.776145176973932	0	0
peak_100117	0	0	0	1.4580111421633	0	0.776145176973932	0	0
peak_100118	0	0	0	0	0	0.776145176973932	0	0
peak_100119	0	0	0	0	0	0	0.717594443942245	0
peak_10012	0	0	0	0	0	0	0	0
peak_100120	0	0	0	0	0.921147873931724	0	0.717594443942245	0
peak_100121	0	0	0	0	0	0.776145176973932	1.43518888788449	0
peak_100122	0	0	0	0	0	0	0.717594443942245	0
peak_100123	0	0	0	0	0	0	0.717594443942245	0
peak_100124	0	0	0	0	0	0	0.717594443942245	0
peak_100125	0	0	0	0	0	0.776145176973932	0	0
peak_100126	0	0	0	0	0	0	0	0.659955311222994
peak_100127	0	0	0	0	0	0	0.717594443942245	0
peak_100128	0	0	0	0	0	0	0.717594443942245	0
peak_100129	0	0	0	0	0	0	0	0.659955311222994
peak_10013	0	1.17917497231001	0	0	1.84229574786345	0	0	0
peak_100130	0	0	0	0	0	0	0.717594443942245	0
peak_100131	0	0	0	0	0	0	0.717594443942245	0
peak_100132	0	0	0	0	0	0	0.717594443942245	0
peak_100133	0	0	0	0	0	0	0.717594443942245	1.31991062244599
peak_100134	0	0	0	0	0.921147873931724	0	0.717594443942245	0
peak_100135	0	0	0	0	0	0	0.717594443942245	0
peak_100136	0	0	0	0	0	0	0.717594443942245	0
peak_100137	0	0	0	0	0	0	0.717594443942245	0
peak_100138	0	0	0	0	3.6845914957269	0	0	0
peak_100139	0	0	1.49556127951153	0	0	0	0.717594443942245	0
peak_10014	0	0	0	0	0	0.776145176973932	0	0
peak_100140	0	0	0	0	0	0.776145176973932	0	0
peak_100141	0	0	0	0	0	0	0.717594443942245	0.659955311222994
peak_100142	0	0	0	0	0	0	0	0.659955311222994
peak_100143	0	0	0	0	0	0	0	0.659955311222994
peak_100144	0	0	0	0	0	0	0.717594443942245	0.659955311222994
peak_100145	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100146	0	0	0	0	0	0	0.717594443942245	0
peak_100147	0	0	0	0	0	0.776145176973932	0	0
peak_100148	0	0	0	0	0	0	0	0.659955311222994
peak_100149	0	0	0	0	0	0	0	0.659955311222994
peak_10015	0	0	0	1.4580111421633	0.921147873931724	0.776145176973932	0	0
peak_100150	0	0	0	0	0	0	0	0.659955311222994
peak_100151	0	0	0	0	0	0	0	0.659955311222994
peak_100152	0	0	0	0	0	0	0	1.31991062244599
peak_100153	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100154	0	0	0	0	0	0.776145176973932	0.717594443942245	0
peak_100155	0	0	0	0	0	0	0	0.659955311222994
peak_100156	0	0	0	0	0	0.776145176973932	0	0
peak_100157	0	0	0	0	0	0.776145176973932	0	0
peak_100158	0	0	0	0	1.84229574786345	0	0	0.659955311222994
peak_100159	0	0	0	0	0	0	0	0.659955311222994
peak_10016	0	0	0	0	0	0.776145176973932	0	0
peak_100160	0	0	0	0	0	0	0.717594443942245	0
peak_100161	0	0	0	0	0	0	0	0.659955311222994
peak_100162	0	0	0	0	0	0	0	1.31991062244599
peak_100163	0	0	0	0	0	0	0.717594443942245	0
peak_100164	0	1.17917497231001	0	0	0	0	0	0.659955311222994
peak_100165	1.83839661745444	0	0	0	0	0	0.717594443942245	0.659955311222994
peak_100166	0	0	0	0	0.921147873931724	0	0	0.659955311222994
peak_100167	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100168	0	0	0	0	0	0	0	0.659955311222994
peak_100169	0	0	0	0	0	0	1.43518888788449	0
peak_10017	0	0	0	0	0	1.55229035394786	0	0
peak_100170	0	0	0	0	0	0	0	0.659955311222994
peak_100171	0	0	0	0	0	0	0	0.659955311222994
peak_100172	0	0	0	0	0	0	0	0.659955311222994
peak_100173	0	0	0	0	0	0	0.717594443942245	0
peak_100174	0	0	0	0	0	0	0.717594443942245	0
peak_100175	0	0	0	0	0	0	0	0.659955311222994
peak_100176	0	0	0	0	0	0.776145176973932	0	0.659955311222994
peak_100177	0	0	0	0	0	0	0	0.659955311222994
peak_100178	0	0	0	0	0	0	1.43518888788449	0
peak_100179	0	0	0	0	0	0	0.717594443942245	0.659955311222994
peak_10018	0	0	0	0	0	0	0.717594443942245	0
peak_100180	0	0	0	0	0	0	0	0.659955311222994
peak_100181	0	0	0	1.4580111421633	0	0.776145176973932	0	0
peak_100182	0	0	0	0	0	0	0	0.659955311222994
peak_100183	0	0	0	0	0	0	0	0.659955311222994
peak_100184	0	0	0	0	0	0	0	0.659955311222994
peak_100185	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100186	0	0	0	0	0	0	0.717594443942245	0
peak_100187	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100188	0	0	0	0	0	2.3284355309218	0	0
peak_100189	0	0	0	0	0	0.776145176973932	0	0
peak_10019	0	0	0	0	0	0.776145176973932	0	0
peak_100190	0	0	0	0	0	0.776145176973932	0	0
peak_100191	0	0	0	0	0	0	0	0.659955311222994
peak_100192	0	0	0	0	0	0	0	0.659955311222994
peak_100193	0	0	0	0	0	0	0.717594443942245	0
peak_100194	0	0	0	0	0	0	0.717594443942245	0
peak_100195	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100196	0	0	0	0	0	0.776145176973932	0	0
peak_100197	0	0	0	0	0	0	0	0.659955311222994
peak_100198	0	0	0	0	0	0.776145176973932	0	0
