	SRR7359508.tabular	SRR7359507.tabular	SRR7359506.tabular	SRR7359505.tabular	SRR7359512.tabular	SRR7359511.tabular	SRR7359510.tabular	SRR7359509.tabular
1110020A21Rik	31.0159749221307	52.7380854443449	16.2822807862922	42.8395971632189	11.2505529958656	24.5825193679766	31.4153997757966	23.2596054813979
1110025L11Rik	0	0	0	0	0	0	0	0
1110025M09Rik	25.4774079717503	27.4677528355963	56.5090921406613	16.183847817216	30.6833263523606	26.4734823962825	37.3588537874338	21.2370310917111
1110028F11Rik	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	2.04555509015738	0.945481514152946	0	0
1110032A03Rik	256.989506497655	297.750440737864	424.297081666321	262.749529267742	336.493812330888	299.717639986484	321.795581487214	306.420020037546
1110032F04Rik	0	0	0	0	0	0	0	1.01128719484339
1110035H17Rik	8.86170712060878	8.78968090739082	3.83112489089229	2.85597314421459	3.06833263523606	10.4002966556824	3.39625943522126	3.03386158453016
1110038B12Rik	866.231871039509	776.788050190664	822.734070319119	653.06585897707	787.53870971059	814.059583685687	573.118779693587	879.819859513747
1110038F14Rik	116.30990595799	87.8968090739082	161.865026640199	141.846666162658	139.097746130702	117.239707754965	119.718145091549	117.309314601833
1110046J04Rik	0	0	0	0	0	0	0	0
1110051M20Rik	1271.65497180736	1853.52396134604	1775.72638692858	1711.67990443261	1682.46906165444	1915.54554767387	2099.73739582554	1594.79990626802
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	1560.76816661722	2027.12015926701	1785.30419915581	1796.40710771098	1691.67405956015	1863.54406439546	1783.03620349116	1708.06407209048
1110059G10Rik	159.510728170958	159.312966446459	126.427121399446	147.558612451087	207.623841650974	158.840894377695	121.41627480916	189.110705435713
1110060G06Rik	0	0	0	0	0	0	0	0
1110065P20Rik	8.86170712060878	6.59226068054312	0	6.66393733650071	6.13666527047213	5.67288908491768	4.24532429402657	3.03386158453016
1190001M18Rik	6.64628034045659	7.69097079396697	14.3667183408461	9.5199104807153	6.13666527047213	1.89096302830589	0.849064858805314	8.0902975587471
1190005I06Rik	0	0	0	0	0	0	0	0
1190007I07Rik	341.175724143438	250.505905860638	207.838525330907	229.429842585239	267.967716810616	325.245640868614	192.737722948806	314.510317596293
1190028D05Rik	1.1077133900761	1.09871011342385	5.74668733633844	2.85597314421459	11.2505529958656	3.78192605661178	0.849064858805314	0
1200007C13Rik	2.2154267801522	0	0	0	0	0	0	0
1300002E11Rik	0	0	0	0	0	0	0	0
1300014J16Rik	21.0465544114459	26.3690427221725	23.9445305680768	20.9438030575737	14.3188856311016	27.4189639104354	31.4153997757966	7.07901036390371
1300017J02Rik	95.2633515465444	48.3432449906495	82.3691851541843	74.2553017495794	101.25497696279	97.3845959577535	97.6424587626111	148.659217641978
1500002C15Rik	3.32314017022829	3.29613034027156	5.74668733633844	1.90398209614306	2.04555509015738	1.89096302830589	2.54719457641594	4.04514877937355
1500002F19Rik	0	0	0	0	0	0	0	0
1500004A13Rik	124.063899688523	177.991038374664	130.258246290338	130.4227735858	122.733305409443	164.513783462613	87.4536804569474	103.151293874025
1500005C15Rik	0	0	0	0	0	0	0	0
1500009C09Rik	0	0	0	2.85597314421459	0	0.945481514152946	0	0
1500009L16Rik	224.865818185448	268.08526767542	201.134056771845	237.045770969811	184.099958114164	268.516750019437	309.059608605134	216.415459696485
1500011B03Rik	307.944322441155	343.896265501666	289.249929262368	294.165233854103	307.856041068685	231.642970967472	368.494148721506	221.471895670702
1500012K07Rik	0	1.09871011342385	6.70446855906151	0	4.09111018031475	0	2.54719457641594	6.06772316906032
1500015A07Rik	157.295301390806	232.926544045857	185.809557208276	147.558612451087	150.348299126567	203.278525542883	253.870392782789	191.1332798254
